LOCATION,TIME,Value
FRA,1990,88.187367
FRA,1991,88.184068
FRA,1992,89.120351
FRA,1993,88.816619
FRA,1994,89.957649
FRA,1995,91.345222
FRA,1996,91.632585
FRA,1997,92.489122
FRA,1998,94.048297
FRA,1999,94.753639
FRA,2000,96.409365
FRA,2001,97.099677
FRA,2002,98.598887
FRA,2003,98.467389
FRA,2004,99.24757
FRA,2005,99.596212
FRA,2006,101.278549
FRA,2007,100.62835
FRA,2008,99.318369
FRA,2009,97.329155
FRA,2010,98.205246
FRA,2011,98.941033
FRA,2012,98.676052
FRA,2013,99.263078
FRA,2014,99.68265
FRA,2015,100.0
FRA,2016,99.888538
FRA,2017,101.353971
FRA,2018,101.42969
FRA,2019,101.463881
FRA,2020,99.060974
FRA,2021,98.982898
FRA,2022,97.626417
DEU,1985,75.037801
DEU,1986,75.715229
DEU,1987,76.180706
DEU,1988,77.692091
DEU,1989,79.755264
DEU,1990,82.074371
DEU,1991,84.329047
DEU,1992,85.451282
DEU,1993,85.823796
DEU,1994,87.402043
DEU,1995,88.177242
DEU,1996,88.877134
DEU,1997,90.300416
DEU,1998,90.77815
DEU,1999,91.201905
DEU,2000,92.673783
DEU,2001,93.99508
DEU,2002,94.01297
DEU,2003,93.954456
DEU,2004,94.550585
DEU,2005,95.402954
DEU,2006,96.928551
DEU,2007,97.911918
DEU,2008,97.576708
DEU,2009,93.608598
DEU,2010,95.870192
DEU,2011,98.223451
DEU,2012,98.441747
DEU,2013,98.624691
DEU,2014,99.627372
DEU,2015,100.0
DEU,2016,101.150515
DEU,2017,102.720303
DEU,2018,102.658553
DEU,2019,103.013774
DEU,2020,102.595345
DEU,2021,103.575452
DEU,2022,104.049655
GRC,1990,105.501163
GRC,1991,108.344805
GRC,1992,106.185409
GRC,1993,102.423203
GRC,1994,103.61237
GRC,1995,105.042165
GRC,1996,107.511932
GRC,1997,111.38847
GRC,1998,110.281227
GRC,1999,111.947507
GRC,2000,113.954651
GRC,2001,116.537927
GRC,2002,117.34497
GRC,2003,120.773469
GRC,2004,123.213493
GRC,2005,119.44323
